unknown bird - medium
unknown bird - small
american robin
unknown bird - large
blackbirds
gulls
mourning dove
american kestrel
rock pigeon
canada goose
bald eagle
"raptors: hawks, eagles, vultures, kites, osprey, falcons, caracaras"
hawks
european starling
sparrows
ducks
rails
laughing gull
geese
american crow
yellow-billed magpie
herons
turkey vulture
ring-billed gull
red-tailed hawk
swallows
purple martin
doves
killdeer
hawaiian duck
osprey
upland sandpiper
egrets
wrens
crows
"terns, noddies"
american barn owl
pacific golden-plover
new world vultures
western meadowlark
"sandpipers, curlews, phalaropes, allies"
owls
great blue heron
mallard
wilson's snipe
american goldfinch
short-eared owl
barn swallow
common nighthawk
great frigatebird
northern rough-winged swallow
arctic tern
"ducks, geese, swans"
ring-necked pheasant
snowy owl
thrushes
brown pelican
western cattle egret
herring gull
tree swallow
eastern meadowlark
hooded merganser
snow goose
anhinga
common grackle
spotted dove
snow bunting
blue-winged teal
snowy egret
chimney swift
"finches, euphonias"
common raven
peregrine falcon
munias
zebra dove
brown thrasher
great egret
northern mockingbird
western gull
semipalmated sandpiper
double-crested cormorant
eurasian wigeon
house finch
sandhill crane
northern flicker
red-winged blackbird
spotted sandpiper
horned lark
pelicans
common myna
black vulture
cliff swallow
wild turkey
orioles
scaly-breasted munia
american woodcock
plovers
white-tailed kite
northern saw-whet owl
"pigeons, doves"
great horned owl
least tern
eastern towhee
black-crowned night heron
northern harrier
boat-tailed grackle
american golden-plover
northern bobwhite
chestnut munia
brant
gray partridge
helmeted guineafowl
grackles
glaucous-winged gull
ptarmigans
grebes
american coot
blue jay
long-eared owl
brown-headed cowbird
cedar waxwing
merlin
yellow-bellied sapsucker
greater sage-grouse
common loon
greater scaup
northern lapwing
great black-backed gull
american wigeon
savannah sparrow
common tern
golden eagle
eastern whip-poor-will
white ibis
mute swan
black-billed magpie
rough-legged hawk
red-crested cardinal
cackling goose
meadowlarks
bonaparte's gull
eastern screech-owl
red-shouldered hawk
wood stork
northern parula
burrowing owl
tundra swan
new world quail
black-bellied plover
belted kingfisher
short-billed gull
canvasback
bank swallow
purple gallinule
fox sparrow
northern pintail
swans
pigeons
monk parakeet
eagles
woodpeckers
long-tailed duck
unknown bird
western grebe
sharp-shinned hawk
house sparrow
white-throated sparrow
"falcons, caracaras"
franklin's gull
eastern bluebird
green-winged teal
common merganser
least sandpiper
white-crowned sparrow
parrots
western sandpiper
rose-breasted grosbeak
canada warbler
long-billed dowitcher
ibises
american black duck
whimbrel
wood duck
chickadees
perching birds (y)
swainson's thrush
virginia rail
red-bellied woodpecker
forster's tern
eared grebe
dunlin
yellow bittern
dark-eyed junco
swainson's hawk
tropicbirds
great crested flycatcher
glossy ibis
greater white-fronted goose
lesser yellowlegs
white stork
clapper rail
american bittern
cooper's hawk
california gull
bobolink
pied-billed grebe
common gallinule
ring-necked duck
lark bunting
gray catbird
inca dove
yellow-billed cuckoo
american oystercatcher
loggerhead shrike
sora
black francolin
green-tailed towhee
common poorwill
hermit thrush
old world vultures
field sparrow
rock ptarmigan
eastern kingbird
black kite
yellow-breasted chat
common eider
carrion crow
heermann's gull
vaux's swift
brewer's blackbird
lesser scaup
scissor-tailed flycatcher
lark sparrow
emperor goose
yellow-headed blackbird
new world wood-warblers
gadwall
lazuli bunting
swifts
white-throated swift
willet
newell's shearwater
ruddy turnstone
northern cardinal
grasshopper sparrow
gray-cheeked thrush
purple finch
semipalmated plover
buff-breasted sandpiper
great-tailed grackle
white-winged dove
black-capped chickadee
lesser nighthawk
pine warbler
black skimmer
redhead
broad-winged hawk
northern shoveler
palm warbler
ovenbird
mottled duck
song sparrow
caspian tern
little blue heron
nashville warbler
ruddy duck
iceland gull
american avocet
common yellowthroat
black-and-white warbler
baird's sandpiper
hairy woodpecker
warbling vireo
red-vented bulbul
great cormorant
lapland longspur
nanday parakeet
willow ptarmigan
american pipit
acadian flycatcher
eurasian skylark
wedge-tailed shearwater
japanese white-eye
vesper sparrow
muscovy duck
baltimore oriole
sanderling
violet-green swallow
townsend's warbler
yellow-crowned night heron
long-billed curlew
red-tailed tropicbird
magnificent frigatebird
pine siskin
varied thrush
eastern wood-pewee
red-breasted merganser
horned grebe
southern lapwing
chukar
pelagic cormorant
wrentit
chipping sparrow
wilson's warbler
laysan albatross
white-faced ibis
black-necked stilt
bufflehead
lincoln's sparrow
scarlet tanager
solitary sandpiper
green heron
anna's hummingbird
western bluebird
gray francolin
budgerigar
short-billed dowitcher
rock wren
common ground dove
barred owl
fork-tailed storm-petrel
red-necked grebe
harris's hawk
snowy plover
cassin's vireo
yellow-throated vireo
pectoral sandpiper
western kingbird
white-winged crossbill
indigo bunting
american white pelican
black-footed albatross
ash-throated flycatcher
chuck-will's-widow
ferruginous hawk
red-naped sapsucker
red knot
western wood-pewee
carolina wren
white tern
red-eyed vireo
eurasian kestrel
prairie falcon
northern pygmy-owl
sulphur-bellied flycatcher
philippine duck
wood thrush
hooded crow
white-tailed tropicbird
northern waterthrush
bell's sparrow
yellow-rumped warbler
dickcissel
common cuckoo
tyrant (new world) flycatchers
common waxbill
