,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
2009,850,1153,1033,1011,1042,1076,1011,1009,1107,1015,1015,1046,1078,1043,1041,1101,1039,1043,1058,1095,1048,1049,1109,1045,1059,1079,1125,1072,1045,1126,1069,1081,1103,1127,1081,1083,1155,1051,1095,1109,1135,1091,1091,1157,1087,1076,1071,1095,1037,985,1087,1006,1025,1042,1068,1014,1021,1101,1006,1026,1040,1049,1004,1016,1075,1021,954,1022,1062,1009,1036,1021,1082,171
2010,814,1034,1031,963,970,1058,958,972,987,1003,959,962,1036,950,982,991,1021,973,976,1051,970,982,996,1023,971,987,1076,1001,1010,1028,1014,1016,1024,1100,1029,1033,1055,1011,1040,1043,1116,1042,1045,1061,1096,1013,998,1076,994,945,982,1006,951,957,1032,948,954,968,1007,948,946,1021,925,931,947,924,951,927,977,926,958,926,1038,144
2011,760,910,954,880,889,900,935,890,907,965,898,904,924,949,915,920,979,920,924,941,963,928,928,1013,955,961,980,1005,963,907,1001,971,984,1003,1038,997,937,1033,997,999,1012,1038,1006,1024,1078,991,982,1007,1017,872,965,1042,955,967,982,1022,965,969,1051,961,943,983,976,935,940,918,985,931,942,962,947,927,1047,145
2012,761,902,871,900,849,849,930,838,875,934,957,916,916,991,943,959,970,993,955,949,1047,985,992,1004,1026,986,990,1066,997,913,1024,1057,1020,1019,1072,1024,1023,1016,1064,1028,1026,1080,1027,1027,1044,1040,981,976,1051,883,958,983,1018,967,962,1019,939,946,959,998,934,903,953,918,921,851,991,902,903,972,917,913,908,322
2013,716,868,853,869,891,840,837,924,837,877,904,915,882,895,963,902,908,929,946,905,909,1007,932,929,942,968,921,935,1010,848,945,983,1010,978,980,1035,972,867,1001,1017,983,983,1035,977,978,984,1010,963,898,986,933,945,954,984,905,885,952,881,884,907,911,877,891,951,889,904,856,988,864,875,944,837,939,135
2014,666,860,788,778,867,784,778,810,851,823,825,899,823,847,862,885,843,838,900,848,866,890,914,864,866,936,861,881,884,873,880,909,1024,972,974,989,1010,903,970,1026,970,974,987,1006,956,948,1005,937,836,912,952,903,905,968,904,903,915,946,898,893,905,874,876,899,926,883,863,962,874,877,938,829,922,128
2015,716,951,856,864,885,918,855,863,934,835,845,872,892,887,887,952,888,900,932,965,955,964,1035,968,969,986,1017,969,932,1030,976,1009,1058,1093,1054,1049,1089,1012,1040,1049,1086,1043,1044,1092,1044,1036,1044,1066,1021,947,1020,996,994,1000,1044,999,1003,1072,996,996,975,1018,988,976,1033,1007,978,1001,1013,985,1003,987,1059,153
2016,798,926,939,888,891,964,881,874,918,941,889,891,960,890,943,956,977,940,941,1023,967,991,996,1032,986,983,1069,993,994,1022,1006,1079,1136,1194,1154,1151,1162,1126,1149,1149,1206,1148,1149,1159,1180,1127,1126,1188,1099,1007,1098,1135,1080,1079,1148,1086,1087,1104,1138,1084,1081,1114,1021,1037,1069,1044,1086,1024,1071,1016,1064,1084,1098,379
2017,879,970,977,1011,956,957,1040,924,963,962,1022,958,962,1045,996,998,1019,1048,995,997,1056,988,994,1039,1102,1077,1075,1156,1074,1057,1133,1180,1140,1141,1215,1148,1112,1137,1203,1158,1157,1225,1158,1157,1171,1187,1126,1120,1190,1022,1115,1131,1174,1116,1107,1184,1108,1121,1126,1162,1080,1103,1124,1023,1079,1013,1147,1040,1056,1123,1070,1072,1182,171
2018,942,1073,1024,1081,996,1012,1010,1031,995,984,1091,1012,1031,1041,1061,1013,1020,1083,1017,1064,1123,1187,1131,1131,1199,1115,1135,1138,1192,1084,1152,1237,1206,1216,1237,1265,1168,1170,1297,1256,1268,1288,1306,1232,1215,1280,1184,1189,1196,1193,1158,1166,1227,1146,1185,1167,1222,1177,1171,1230,1078,1183,1157,1223,1227,1154,1205,1059,1072,1087,1184,1184,1298,202
