,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
2009,2367,2949,2826,2860,2848,2901,2834,2862,2934,2905,2926,2923,2996,2933,2956,3025,2941,2950,2933,3016,2960,2982,3050,2964,3018,3022,3116,3047,2942,3117,3026,3278,3317,3380,3321,3321,3293,3236,3345,3351,3403,3344,3338,3398,3314,3336,3318,3335,3224,2955,3149,3039,3065,3063,3128,3070,3089,3168,3051,3075,3043,3069,2980,2994,3083,2982,2851,2985,3043,2974,3093,2992,3138,553
2010,2445,2985,3020,2947,2959,3041,2932,2969,3000,3080,3026,3028,3105,3018,3033,3043,3088,3025,3023,3113,3028,3065,3076,3126,3083,3109,3201,3125,3144,3150,3142,3167,3357,3418,3359,3366,3338,3258,3371,3372,3423,3362,3376,3386,3433,3378,3356,3353,3252,3154,3210,3244,3184,3193,3263,3189,3194,3187,3237,3171,3165,3210,3108,3146,3121,3026,3096,3065,3151,3031,3180,3074,3266,573
2011,2505,3016,3081,2953,3005,2992,3044,2976,3008,3102,3067,3101,3099,3179,3149,3177,3237,3145,3161,3109,3166,3119,3130,3215,3100,3185,3165,3238,3163,3065,3308,3192,3511,3512,3577,3506,3388,3514,3531,3542,3533,3585,3535,3567,3638,3512,3484,3503,3562,3334,3458,3551,3415,3469,3446,3527,3430,3450,3554,3411,3408,3356,3418,3305,3324,3079,3436,3223,3200,3321,3367,3246,3530,587
2012,2965,3572,3527,3593,3521,3533,3616,3491,3560,3577,3710,3627,3619,3784,3731,3769,3763,3848,3757,3772,3940,3812,3848,3850,3929,3843,3848,3994,3847,3709,3882,4043,4226,4247,4347,4240,4230,3983,4392,4305,4310,4422,4300,4317,4314,4350,4221,4195,4211,3776,3999,3978,4081,3966,3969,4101,3918,3989,3952,4051,3909,3857,3912,3751,3777,3444,3894,3585,3609,3759,3704,3775,3832,1444
2013,3100,3437,3507,3417,3489,3422,3469,3546,3364,3632,3599,3629,3629,3706,3783,3640,3737,3675,3777,3721,3795,3897,3731,3803,3799,3916,3803,3832,3965,3675,3892,4038,4283,4200,4216,4341,4124,3844,4279,4345,4250,4246,4392,4244,4256,4268,4332,4125,3857,4107,3860,3942,3889,4020,3844,3897,4028,3827,3928,3874,3893,3818,3795,3923,3722,3800,3447,3879,3577,3608,3893,3679,4073,688
2014,3188,3800,3521,3549,3678,3480,3550,3527,3663,3607,3639,3765,3589,3766,3764,3850,3751,3780,3945,3777,3847,3830,3923,3811,3865,4011,3819,3882,3865,3814,3866,3999,4270,4097,4130,4172,4193,3892,4164,4334,4146,4171,4200,4283,4155,4141,4232,4011,3812,3776,4038,3905,3961,4100,3907,3983,3978,4115,3960,3958,3890,3731,3822,3781,3921,3694,3494,3913,3601,3707,3943,3734,4059,655
2015,3118,3660,3365,3408,3423,3524,3343,3406,3611,3412,3543,3535,3670,3648,3702,3851,3659,3732,3684,3779,3665,3705,3868,3644,3762,3766,3906,3768,3617,3940,3745,3963,3996,4101,3979,3988,3919,3891,4039,4072,4157,4049,4088,4287,4129,4144,3964,4073,3895,3650,3872,3722,3829,3801,4055,3887,3919,4089,3862,3902,3811,3998,3841,3865,4036,3726,3560,3700,3827,3654,4027,3817,4119,662
2016,3191,3540,3627,3452,3503,3672,3435,3593,3545,3656,3587,3599,3832,3763,3882,3909,4056,3913,3887,4070,3877,3948,3929,4068,3941,4042,4278,4052,4103,4079,4077,4113,4238,4417,4252,4266,4267,4088,4367,4375,4508,4356,4396,4436,4544,4418,4388,4520,4248,3935,4076,4235,4077,4098,4288,4096,4108,4081,4245,4053,4034,4102,3845,4000,4020,3735,4020,3759,3954,3719,4063,4030,4049,1486
2017,3187,3645,3558,3645,3543,3552,3742,3444,3601,3631,3741,3678,3702,3909,3800,3912,3865,3948,3839,3827,3992,3734,3867,3855,4012,3945,3928,4126,3939,3819,3987,4169,4301,4367,4476,4340,4174,4266,4534,4444,4480,4579,4465,4525,4505,4725,4673,4644,4726,4001,4174,4273,4446,4255,4269,4487,4226,4279,4296,4448,4085,4129,4374,4130,4124,3736,4344,3992,4010,4225,4151,4143,4430,727
2018,3443,4023,3722,3942,3734,3799,3786,3882,3785,3811,4126,3924,3916,4022,4255,4117,4126,4253,4061,4109,4093,4182,4066,4082,4223,4105,4142,4148,4265,3973,4159,4416,4436,4475,4511,4587,4294,4153,4697,4518,4537,4542,4626,4541,4539,4699,4498,4463,4358,4160,4118,4159,4336,4136,4179,4111,4236,4097,4084,4303,3842,4056,4073,4249,4094,3798,4165,3851,3908,3899,4143,3972,4238,767
2019,3329,3881,3736,3689,3706,3673,3674,3865,3655,3767,3817,3919,3841,3993,4132,3983,4056,3986,4063,3947,3973,4081,3881,3990,3931,4101,3972,4000,4141,3821,4059,4157,4446,4333,4356,4508,4202,4121,4427,4503,4394,4393,4633,4675,4716,4747,4803,4684,4337,4063,3745,3818,3763,3911,3879,3971,4176,3990,4066,3998,3915,3906,3933,4045,3872,3990,3638,4005,3753,3772,3960,3920,4099,744
2020,3193,3862,3697,3617,3819,3657,3759,3690,3842,3785,3881,4002,7003,7950,7884,8050,7884,7628,4214,1814,1222,1031,889,882,809,803,777,810,831,852,904,991,1081,1086,1132,1111,1201,1454,1772,1754,1744,1783,1713,1842,1819,1767,1744,1736,1779,1720,1625,1672,1670,1646,1629,1750,1646,1702,1769,1730,1677,1645,1718,1659,1694,1859,1745,1689,1579,1640,1747,1851,1809,706
2021,1570,1570,1556,1578,1590,1542,1539,1639,1607,1657,1698,1709,1659,1718,1903,1820,1886,1940,1939,1908,1833,1974,1830,1857,1868,1951,1960,1927,2089,1951,2043,2383,2415,2468,2398,2478,2510,2595,2671,2687,2706,2639,2738,2722,2763,2737,2742,2761,2677,2714,2748,2833,2813,2843,2845,2752,2878,2819,2866,2835,2818,2890,2804,2879,2835,2740,2857,2771,2738,2646,2945,2821,2950,532
