,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
2009,1054,1067,1110,1038,1041,1140,1032,1036,1057,1084,1028,1028,1125,1025,1026,1044,1088,1024,1024,1101,1016,1023,1035,1083,1023,1028,1101,1017,970,1035,1077,1033,1035,1100,1036,1040,1014,1093,1042,1042,1110,1042,1042,1057,1093,1025,1006,1043,953,900,975,1023,952,955,1045,952,954,974,1023,953,952,1026,933,933,932,889,905,861,934,855,894,846,902,0
2010,876,851,940,842,846,871,916,844,862,956,871,874,899,935,891,909,978,904,906,923,952,898,904,975,903,907,936,957,908,877,970,908,890,909,932,890,852,937,890,890,909,932,890,890,949,867,848,858,892,788,836,914,834,836,854,894,831,839,909,832,839,848,896,845,857,815,889,842,845,889,864,827,870,0
2011,853,842,846,884,835,834,910,840,843,871,914,864,874,944,896,900,912,952,892,893,957,891,893,919,951,888,893,951,885,834,905,962,928,930,988,927,871,943,969,928,926,982,931,931,944,960,899,896,954,813,876,888,930,870,869,928,845,856,868,906,829,848,880,807,819,757,893,782,785,852,824,809,855,0
2012,829,767,755,824,751,761,771,795,758,772,848,773,789,807,885,835,836,907,838,842,860,890,837,842,918,846,851,869,900,791,860,937,884,905,925,946,896,873,968,913,910,930,949,921,911,956,885,871,850,829,830,834,906,825,831,848,885,829,835,907,799,829,826,870,818,758,887,798,810,825,864,771,828,134
2013,810,827,766,769,838,762,769,787,817,780,785,851,780,803,825,857,808,812,884,815,839,862,899,839,849,938,851,861,873,854,868,880,994,936,934,946,901,895,932,995,929,931,949,984,922,911,984,893,801,892,929,874,885,959,860,870,872,920,864,872,928,839,856,861,893,851,811,910,809,827,883,796,825,0
2014,829,864,777,789,800,839,773,791,874,797,813,825,855,836,845,909,839,841,874,922,888,883,960,885,896,913,953,890,837,967,932,956,999,1044,992,991,982,989,990,1005,1041,987,983,1040,970,966,955,999,834,908,1003,917,926,918,974,917,926,997,911,926,879,958,902,914,981,911,877,895,926,869,899,829,840,0
2015,869,856,877,809,832,903,806,852,837,870,821,822,907,808,830,831,873,830,837,939,889,905,906,959,925,930,1007,930,857,944,995,967,985,1049,981,969,934,1022,979,974,1038,975,978,994,1025,960,953,998,924,847,897,964,916,919,989,907,909,916,959,891,866,977,877,889,893,858,912,865,939,864,871,804,866,0
2016,856,818,903,798,829,836,861,812,807,909,810,823,832,861,816,825,891,821,835,843,909,870,870,943,894,898,917,968,899,846,972,940,996,1011,1054,996,956,1016,990,991,1003,1043,995,1000,1056,990,991,971,1017,867,942,1025,926,938,932,988,919,925,999,914,895,916,982,959,967,926,1030,898,903,966,957,931,1055,128
2017,1020,920,879,979,885,905,904,933,883,886,1003,904,912,949,1043,995,997,1065,984,988,996,1038,989,1024,1091,1048,1047,1061,1115,998,1068,1157,1094,1091,1104,1154,985,1101,1172,1108,1107,1117,1164,1123,1136,1191,1120,1119,1109,1066,1085,1109,1189,1109,1124,1119,1190,1131,1139,1207,1077,1123,1106,1166,1143,1063,1174,1053,1075,1092,1184,1054,1108,0
2018,1162,1069,1056,1048,1097,1036,1012,1117,1000,1040,1068,1118,1037,1045,1125,1053,1061,1065,1105,1143,1183,1268,1181,1186,1200,1284,1210,1219,1310,1154,1228,1257,1312,1249,1252,1332,1133,1240,1277,1332,1262,1261,1336,1236,1241,1263,1279,1231,1197,1334,1272,1280,1291,1350,1268,1273,1383,1278,1291,1304,1258,1263,1254,1377,1275,1179,1205,1249,1163,1179,1319,1168,1227,0
