,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
2009,956,939,961,908,916,983,910,915,946,973,934,933,995,937,937,944,973,937,933,980,932,933,940,973,939,942,997,949,924,968,996,989,998,1031,1000,1000,969,1029,1010,1010,1041,1009,1010,1020,1030,1000,965,1024,953,879,955,997,948,950,1016,944,952,958,996,940,939,983,913,921,927,900,947,903,955,895,921,887,919
2010,903,896,967,878,892,909,940,889,909,981,915,915,935,963,914,915,966,920,919,940,962,921,931,979,929,943,959,985,948,928,998,976,1006,1017,1029,1006,966,1032,1006,1006,1017,1029,1006,1006,1040,970,940,940,968,875,916,962,907,908,920,947,908,909,961,906,896,898,910,875,872,830,903,856,852,887,875,837,884
2011,866,859,871,897,860,859,919,853,871,877,912,871,876,929,872,882,886,913,895,919,969,915,921,927,975,936,941,999,941,910,958,1018,1014,1014,1050,1010,960,1025,1040,1015,1019,1050,1016,1020,1031,1016,970,971,999,872,947,945,971,935,927,974,900,921,919,945,888,907,955,885,906,847,968,876,878,928,916,874,921
2012,902,842,820,885,817,836,834,862,852,867,941,876,885,901,957,896,908,907,946,888,902,953,889,906,939,977,933,945,995,878,961,981,1010,979,989,1025,940,971,992,1007,982,982,1008,972,977,958,959,916,852,932,881,893,900,938,881,889,945,880,893,903,895,848,878,925,875,808,853,881,846,854,926,821,832
2013,841,844,798,795,859,786,801,807,839,821,822,883,839,859,863,889,858,860,907,855,866,870,909,863,874,933,867,889,888,886,898,916,994,958,958,967,894,914,949,994,948,949,961,975,931,900,945,875,802,879,918,867,875,925,842,854,855,896,845,849,883,835,860,857,890,846,800,895,825,847,871,792,811
2014,832,853,766,782,792,826,764,777,854,785,806,810,846,834,843,883,834,844,858,893,860,859,921,861,871,883,919,877,844,936,893,897,936,954,925,924,889,940,956,960,983,954,954,988,936,931,877,905,794,849,910,847,861,859,903,865,868,918,861,863,822,882,857,863,909,862,819,842,868,829,840,766,785
2015,792,764,793,752,755,825,731,773,773,807,755,761,817,756,784,784,804,786,797,878,844,860,857,892,879,906,974,914,850,929,954,906,922,961,925,925,863,956,931,932,968,919,936,937,962,917,905,952,905,854,902,942,906,906,955,896,904,915,946,896,866,901,835,844,851,800,851,809,848,806,852,787,839
2016,809,773,845,756,788,783,832,748,775,873,775,783,809,871,819,836,835,866,818,826,899,846,852,860,916,877,885,944,881,836,912,983,951,952,986,946,878,954,998,958,962,998,964,967,959,991,939,919,947,826,888,889,932,880,886,966,914,912,923,959,881,907,926,903,903,863,987,858,864,937,906,866,920
2017,896,811,818,901,812,826,843,853,807,835,932,845,851,883,942,912,917,964,911,920,918,951,909,923,963,927,926,940,983,890,935,1032,1015,1031,1039,1080,932,1039,1098,1047,1051,1056,1093,1061,1062,1101,1031,1029,1016,1009,1023,1037,1091,1027,1024,1030,1049,1014,1019,1069,958,975,993,1040,987,954,1053,975,989,1022,1067,936,978
2018,1018,910,867,880,917,855,853,948,836,879,896,931,886,925,1005,931,938,946,964,932,962,1018,955,963,993,1065,1007,1016,1097,971,1031,1064,1112,1067,1069,1140,968,1059,1104,1135,1100,1100,1143,1066,1064,1062,1072,1017,973,1074,1025,1040,1043,1082,1032,1052,1119,1048,1048,1063,1034,1035,1037,1113,1061,1008,999,1032,976,982,1099,983,1053
2019,1027,1014,943,933,1024,936,932,959,1007,964,974,1056,954,981,1001,1036,987,988,1101,1033,1042,1063,1093,1043,1046,1137,1060,1078,1098,1081,1085,1091,1164,1116,1148,1167,1116,1121,1164,1216,1156,1163,1179,1221,1183,1186,1209,1156,1102,1166,1233,1178,1177,1234,1171,1163,1182,1222,1165,1153,1160,1124,1153,1157,1228,1186,1095,1221,1123,1133,1177,1128,1132
2020,1130,1152,1051,1041,1064,1132,1038,1070,1144,1052,1088,1362,2304,2194,2224,2298,2374,2200,949,922,680,582,570,571,416,344,345,337,359,350,373,450,500,510,543,573,567,652,677,692,710,673,693,682,669,664,664,670,650,644,585,583,586,590,595,607,665,632,640,633,621,654,659,707,696,775,814,619,618,603,790,698,750
2021,815,703,700,672,696,669,701,689,672,699,668,695,666,751,803,809,831,807,845,841,820,814,814,815,793,899,882,934,936,924,1001,1054,1095,1105,1144,1101,1086,1174,1100,1128,1126,1158,1127,1151,1218,1127,1148,1133,1173,1102,1119,1152,1095,1131,1110,1147,1119,1125,1147,1097,1117,1075,1013,998,1015,984,1036,983,944,982,988,948,1019
2022,950,900,887,954,952,954,969,922,971,954,1002,977,955,1001,1011,1047,1031,1090,1105,1141,1193,1125,1146,1134,1184,1152,1173,1223,1174,1181,1157,1284,1242,1244,1286,1237,1218,1233,1300,1239,1240,1292,1229,1244,1230,1286,1232,1236,1287,1155,1197,1210,1252,1197,1194,1257,1182,1196,1202,1247,1160,1198,1254,1204,1236,1131,1215,1141,1141,1184,1168,1098,1117
2023,1151,1047,1039,1122,1029,1068,1075,1116,1055,1058,1142,1050,1081,1083,1124,1074,1079,1161,1063,1110,1175,1188,1121,1119,1205,1122,1142,1170,1225,1145,1165,1275,1173,1178,1194,1223,1116,1187,1264,1180,1203,1201,1233,1210,1204,1280,1213,1219,1202,1179,1170,1188,1244,1155,1214,1161,1238,1188,1196,1246,1096,1178,1159,1216,1176,1129,1200,1115,1143,1145,1213,1195,1221
