,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
2009,1003,1020,1067,999,1007,1095,995,1015,1038,1079,1028,1030,1107,1033,1039,1054,1092,1034,1031,1104,1031,1041,1049,1088,1047,1055,1144,1076,1021,1099,1135,1089,1095,1158,1095,1097,1057,1141,1090,1093,1158,1091,1093,1107,1142,1088,1073,1122,1034,976,1045,1092,1030,1034,1109,1024,1038,1040,1091,1025,1029,1109,1018,1026,1020,967,977,984,1072,980,1006,959,1029,0
2010,980,958,1046,944,964,978,1018,956,933,1012,925,937,949,999,950,951,1022,940,946,968,1004,952,956,1024,948,956,969,1002,951,912,1037,970,987,1010,1033,985,926,1043,985,985,1008,1033,983,985,1056,992,996,1012,1047,935,990,1041,959,972,983,1021,966,972,1041,962,965,976,1010,958,975,911,999,976,986,1019,987,930,1012,0
2011,974,977,973,1000,948,959,1031,949,956,986,1014,979,985,1059,994,1002,1005,1027,974,980,1033,968,984,988,1008,961,968,1025,954,903,969,1000,965,965,1022,963,901,988,1010,969,969,1030,969,969,988,1012,963,961,1028,869,939,938,972,926,932,988,914,942,934,966,910,927,982,910,931,837,976,877,885,955,938,904,952,0
2012,931,865,858,941,862,878,887,916,870,867,952,872,888,902,955,908,909,978,904,911,926,952,904,904,971,881,897,913,945,815,901,991,932,934,955,977,899,869,1008,934,938,959,981,936,930,1000,915,920,908,908,898,906,990,893,902,920,954,898,904,980,875,918,926,969,900,815,982,896,918,922,974,837,916,152
2013,901,939,881,882,962,872,889,899,936,894,896,967,894,913,925,957,907,909,983,907,918,935,966,917,920,997,915,934,928,906,932,941,1019,951,955,970,915,909,951,1013,949,951,967,995,939,934,983,912,832,921,952,894,898,967,875,898,899,940,888,892,941,864,878,886,919,853,787,925,840,864,894,820,834,0
2014,856,909,829,845,850,887,823,845,920,849,865,872,907,873,877,942,871,879,883,916,869,871,937,869,889,903,950,896,850,957,892,911,938,975,926,920,897,919,925,940,975,926,926,990,916,916,911,951,829,875,953,885,897,903,942,893,901,958,893,902,870,930,886,892,954,865,831,880,913,862,896,865,846,0
2015,859,855,893,835,847,915,823,859,871,932,880,886,961,887,893,911,939,884,885,971,900,907,923,956,893,902,981,898,853,920,965,920,924,990,922,930,919,1021,974,974,1040,974,974,992,1040,981,981,1049,967,920,953,992,946,957,1032,953,961,970,1008,953,947,1045,964,974,977,921,966,974,1049,960,1002,919,992,0
2016,944,941,1013,919,946,953,982,906,939,1031,946,950,975,1004,951,955,1027,948,954,987,1023,973,973,1050,969,990,1008,1048,988,958,1049,986,996,1013,1049,994,966,1033,999,999,1016,1055,1003,1009,1075,1005,1006,1002,1040,913,949,1042,958,972,976,1028,964,970,1047,964,935,965,1000,972,979,884,998,934,937,987,986,912,1025,137
2017,1008,930,903,913,833,853,851,876,830,851,941,861,872,899,939,892,898,952,893,908,912,976,942,948,1002,955,955,968,1005,907,958,1030,951,967,991,1024,866,960,1045,969,972,994,1028,972,970,1044,955,952,954,948,963,972,1055,967,974,986,1034,966,972,1051,923,953,977,1018,929,837,1020,936,954,959,985,888,922,0
2018,983,886,843,865,920,872,863,949,848,872,896,947,885,918,1001,924,928,940,985,935,945,1011,940,965,964,1016,959,967,1021,899,969,992,1069,1010,1011,1086,922,986,1029,1073,1014,1016,1090,1008,1004,1011,1047,977,947,1027,951,973,976,1024,963,966,1045,971,983,995,961,939,949,1030,926,844,954,988,917,925,999,876,916,0
